age	view	sep.kpc	sigma	sigma.inf	sigma.sup	sigma.1	sigma.1.inf	sigma.1.sup	sigma.2	sigma.2.inf	sigma.2.sup	delta.t	M1	M1.e	M2	M2.e	z1	z1.e	z2	z2.e	sep.Mpc	M1p	M1p.lower	M1p.upper	M2p	M2p.lower	M2p.upper	z1p	z1p.lower	z1p.upper	z2p	z2p.lower	z2p.upper	d.proj.out	d.proj.out.lower	d.proj.out.upper	v.rad.obs.out	v.rad.obs.out.lower	v.rad.obs.out.upper	alpha.out	alpha.out.lower	alpha.out.upper	v.3d.obs.out	v.3d.obs.out.lower	v.3d.obs.out.upper	d.3d.out	d.3d.out.lower	d.3d.out.upper	v.3d.col.out	v.3d.col.out.lower	v.3d.col.out.upper	d.max.out	d.max.out.lower	d.max.out.upper	TSC0	TSC0.lower	TSC0.upper	TSC1	TSC1.lower	TSC1.upper	T.out	T.out.lower	T.out.upper	prob.out	prob.out.lower	prob.out.upper
1.3	z	100.2590253	930.4234285	53.66692773	54.26210127	929.8821502000001	51.9949408	57.4731571	934.7033897	57.10010059	62.93461758	-0.02	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.1002590253	601992497250212.0	540674908634357.8	658857507511463.8	604277074523477.8	542489309729261.44	661690141662155.8	0.05008950438280324	0.04611385428570648	0.05455690929841517	0.0501356542263008	0.046025248794003146	0.05398906853723	0.10021458821142226	0.0950961257626681	0.10468912185298186	830.6141405937419	246.47901708726906	1782.3420880547849	50.787572826179584	22.15430859052884	75.31534672037787	1321.3736004689906	439.07723234527134	2553.8538342369934	0.15683230362809458	0.10850289402578119	0.4017418379892814	1655.8186338264882	759.9494263425197	2672.575590908823	0.9015692671701283	0.3018468496908112	2.606932271107818	0.1436930729255284	0.05804794904857902	0.42972559109405883	1.74893184581303	1.002966540267961	4.519657457189802	1.9694724734445508	1.309576753909018	4.689121223668237	0.1551980051745834	0.029419494823354566	0.561386998033799
1.32	z	16.59154021	957.9250629000001	60.47903785	67.08994612	980.5722707999998	67.66477906	61.29809457	938.5523304999999	62.17118000000001	51.26473534	0.0	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.01659154021	598067013417589.5	538488246649247.9	652189185707800.4	599395845696818.9	538843554655192.2	655377369906241.9	0.05006978218315638	0.046003059367959176	0.05433095212478097	0.05002306832247297	0.04594716077674198	0.05430707411997549	0.016582976639027795	0.01584563848740566	0.017396277903998655	852.6394922987001	236.49761978815835	1819.4497391268108	52.48187282038316	22.28064993784895	77.02459873460155	1328.1083940897752	438.8695112378277	2566.89616840444	0.02743424609887294	0.017877183613162505	0.07551299519347031	1385.7261079531304	510.2665895153851	2615.907751350987	0.6816750196902412	0.1844321839279065	2.356356803851711	0.03313410143012069	0.013391301576831799	0.14874905296290078	1.6993089140495736	1.0526767450153875	4.139505133378449	1.764493404709456	1.1824184602172212	4.16585378582824	0.03899396356708335	0.0066680602659522584	0.21995796158626227
1.34	z	125.04724979999999	983.3541561000001	64.31732429	62.56035512	1024.708877	58.17506668	63.58668169	944.2230304	60.67931884	57.43506762	0.02	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.1250472498	603676360978665.2	541822722459959.7	662084299107843.5	601061709494203.6	540191834413437.75	662640056541050.5	0.049773615520122765	0.045924343750723816	0.053860246494287556	0.050040944301935814	0.04610221817874246	0.05377361978792408	0.1251700293145987	0.11929135809212783	0.13138448726977145	745.9643973072018	189.48957039278304	1650.2624744223392	48.81720519435244	22.840997932880704	75.37265932950963	1196.3175871914023	351.11942377071466	2487.301244256796	0.1912418931219581	0.13627476773700894	0.5071505582106955	1562.2523080098717	765.5599881783966	2678.727277200871	0.8228747228828077	0.30235522524989666	2.5962790245140295	0.18335785564705245	0.07106181058879393	0.5180795284580361	1.6529883161242234	0.9533053573620826	4.2536552152901	1.935306408608712	1.303445274331362	4.478117640164911	0.20703172693070243	0.039145274057283165	0.6821473329956605
1.36	z	225.153398	1009.9209890000001	59.94539117	61.46235948	1063.23199	68.28688227	74.28474698	957.5333529	54.24049568	61.6806147	0.04	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.225153398	601206605610994.9	542438828619910.0	658997855203807.6	600732979021394.0	541715126800647.2	656625581038454.2	0.049896549616861144	0.046048052502543756	0.054151183326641796	0.049973096594251976	0.04583918912145206	0.054006522734878076	0.22524302673147079	0.21573653574658685	0.23691953335700522	835.2525022100767	223.458346415498	1753.2130042259685	52.3576439579258	22.224057821020626	74.70468125361859	1303.7650116088803	413.47109564888433	2464.6177167901346	0.3670997663498615	0.24500132516406556	0.8682513136938155	1886.7942814806636	1073.3792337049315	2787.8743899246515	1.130279560044672	0.4740833113556324	3.0331946721925807	0.2813377078110243	0.12617660445191925	0.6320414141878415	1.8795165930544755	1.0504231719600425	5.036254800896607	2.2585873607951363	1.4850612642262209	5.598509091890412	0.27354935519108714	0.05976574374423706	0.6976975569804612
1.38	z	298.1311525	1037.297649	70.04224737	69.03838724	1100.820078	65.1196868	69.27710201	972.4377271	53.16664752	62.02569906	0.06	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.2981311525	601198593539493.0	538940640467659.9	661946868915594.8	597513660275098.5	540536067592798.1	657179700250680.6	0.04974210998648206	0.045649485169739906	0.05413700651840138	0.04997276889111628	0.046355486335681526	0.05396452476597372	0.29815010228003413	0.28484961744992326	0.31319610823290445	774.3569325486064	207.37620658796413	1633.4509057026112	50.665569258666935	21.43043586365078	74.2118784032899	1223.1741183126692	386.4118714552694	2365.2008824555214	0.47159583131136107	0.32186955567569814	1.077345450140212	1970.012336291179	1177.699403150053	2906.2815504580894	1.2174757598267139	0.5405977454905148	3.844028952691504	0.37940490108199754	0.15982266009295576	0.722882479422354	1.890373470772543	1.0520037041702182	6.721951303816043	2.3114007869828628	1.5433119312829642	7.589101993631444	0.3176127868139026	0.07082907294140497	0.7441474897160079
1.4	z	356.3644838	1065.582313	65.3934251	68.40864571	1137.5169970000002	69.94811524	81.03550514	990.6541605	55.64453203	58.8171811	0.08	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.3563644838	594327654336526.0	538939604057195.0	654308203254237.6	601988229978560.1	538317898740358.44	659412317901469.8	0.05022011998639966	0.045939867592491745	0.05400506929759728	0.05023880889887482	0.046195164441901894	0.05396458342492305	0.3566106767657753	0.33994608617330646	0.37382825335545855	767.0708286898415	241.29033532331425	1650.259608761817	49.64061621500697	21.17279551859456	74.35532870738098	1310.5663432669992	400.62753520908063	2392.84703755847	0.5492193375811587	0.38466480504153416	1.317622558697485	2151.5498104716876	1320.5268944958618	2982.8156231591865	1.449387431039165	0.6372445764936194	4.570446263344232	0.4057014167021986	0.1894384253462394	0.875514204942268	2.103054459650771	1.1006932731922596	8.682317414261743	2.5724392692188784	1.667453926428489	9.626693078705387	0.3218030825369258	0.06701409620461883	0.7610386572078197
1.5	z	585.7166181	1175.386943	70.25259888	66.32868548	1218.0389300000002	73.9218792	72.02127047	1128.827376	62.63763961	68.90169007	0.18	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.5857166181	600360121377359.8	538980310694499.75	659833374853398.1	593644461978020.4	538152134160601.5	657947259363189.9	0.05023613530729544	0.04650966108875831	0.05419024280249558	0.05044445375111886	0.046264257239548565	0.053979720693152426	0.5855152115798737	0.5602564211178036	0.6133568311686515	694.6499291868363	199.1742672095572	1467.1975034663221	47.44165100281404	21.103272744796083	71.70715014310085	1173.1824114725123	387.35329716647533	2237.8008804218252	0.8572162534042871	0.6324067809321388	1.856770594366966	2317.5547166519073	1641.7103874096038	3009.563555361462	1.716206065148845	0.8940558264161347	4.905217654670491	0.5722959442142179	0.29652109711001867	1.085761081684292	2.308786947656259	1.2978128287049362	9.476357654176866	3.0491832566918937	1.9474276709260987	10.89314077192912	0.4017285284220711	0.10208427179347045	0.7867540935613565
1.6	z	812.097046	1214.377309	73.55817409999999	75.52933730000001	1227.097702	72.24939517	76.83054564	1187.2188	79.10794406	73.93476454	0.28	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.812097046	604304796302169.5	539048418071936.75	661494271378945.4	600097867773221.0	540469908586542.1	658886505886996.1	0.04994853704334755	0.04600911150318247	0.05388981386680734	0.04975013658932112	0.04618820946690957	0.053620868798096355	0.8087159971292932	0.7721424423997958	0.8466130653514752	673.6580252975159	215.773538427382	1401.9271982628586	45.694066410769494	21.197197495367845	70.26614283300977	1184.2748459296604	390.09076852137065	2181.155206896544	1.1551341505948538	0.8706679797460161	2.376149227577819	2564.711677927626	1927.0384990139717	3065.652807781511	2.223360958691761	1.1667809188914227	5.814365021631175	0.7246583022695183	0.3935621649817045	1.385831117801879	2.9187721770806148	1.4381568501896955	11.871740858854368	3.771281167606767	2.2578400532622385	13.93843901402007	0.406075305746867	0.0919124435312384	0.787121344746947
1.7	z	898.8007127999998	1195.506574	73.29749771	70.32078771	1183.849937	75.90224438	69.65588244	1185.169619	81.00660570000001	69.7535105	0.38	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.8988007128	601697199695649.5	542170046136901.5	665253910047146.9	605982673721979.2	540935153242191.44	663807076621763.2	0.04992106356138132	0.04620431158615229	0.05368614960444672	0.050027346782959954	0.04622515253067181	0.053568384286633075	0.9008573806306881	0.8605544675375567	0.9449752193083717	640.1759505216767	197.89180247765304	1300.4130180056516	47.05091502240083	21.931489312989722	69.14704125431341	1071.2829696449267	384.4469385480477	2009.909650037188	1.3233771670833978	0.974383076866195	2.5269047898664674	2562.996633794898	2027.3451993405033	3093.6100793429796	2.2472355482070787	1.3022772937797746	6.534573151832488	0.8187381733900533	0.45131312012455443	1.4852111173376892	2.9584584238368166	1.5369709154725788	13.581007222215476	3.850249236242684	2.352103617505261	16.356225331846037	0.4455169234388061	0.11557377263868482	0.8117397985642322
1.8	z	958.7337187	1147.124368	74.53902593	71.02785925	1121.76741	67.27278406	69.00063584	1151.310772	73.39403229	68.00307476	0.48	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.9587337187	600256150827219.1	541194921231965.2	659639994820535.2	600425925460896.8	537179837365442.3	659975108890482.1	0.05005143462374492	0.046340455132243705	0.053931709577218774	0.04988373328908287	0.046190736202484234	0.05394399016582822	0.9589774731493624	0.9172476448801173	1.0052034527497486	628.2294437102905	189.5953766331069	1253.6453650139238	45.96942648552638	21.34060328737317	69.5365287277846	1041.1151965866206	325.7084389599674	2014.117508697083	1.375786584087483	1.0302825003692044	2.6849320400623338	2609.596763095282	2081.0154604635977	3088.964232307636	2.3753160849748047	1.3669544227970556	6.777585493361526	0.8273336837537633	0.49069080910841617	1.6928352645775364	3.041833690842058	1.6014060875383636	14.72821032769043	4.083749470129918	2.4699971980522837	17.065100268542714	0.46243220447458644	0.11377321550747561	0.815507890519106
2.0	z	999.6041617000001	1011.181703	61.89840737	62.68637935	983.5370171	54.22188622	59.74220447	1025.751802	63.94796675	62.6978593	0.68	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.9996041617	596689014099810.0	536055624859017.9	653558845813474.2	601003974549680.8	540326462863126.2	658154704637148.0	0.049916763314629325	0.046156228263956316	0.053877339208963856	0.05000140341803422	0.04628614885581855	0.05383771583781647	0.9996631158048703	0.9518311350791598	1.0474410800956275	623.7673166774518	190.95323357496807	1265.8559459512473	45.20437263952569	19.377936995848444	69.70081395022133	1094.6638084566594	369.9471806345112	1972.9979109220085	1.409379745035487	1.069228813489632	2.899490362343086	2631.1278923883965	2095.8285257056036	3097.9972242425138	2.4206414063961654	1.3725148033196848	6.815420971724997	0.856487208539563	0.5075777157840236	1.7164552089777976	3.229228987026592	1.6006379892346945	15.140237678887509	4.1912513564043214	2.474242740929098	17.354859872953263	0.43827989393609756	0.0968439023775984	0.8054386926418468
2.2	z	854.9895558000001	912.8003624	50.258225700000004	56.94868031	889.3556070000001	50.37247303	56.9053269	932.2098516000001	53.49832387	53.09217343	0.88	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.8549895558	597148560289845.8	538562232404099.44	662522452535440.2	603856139941982.0	543662409006074.8	662328055161694.2	0.04984224063749054	0.04601157857167378	0.0539899226347797	0.04985397714123262	0.045927347099979365	0.05389336002894947	0.8559867771792204	0.8175383991138943	0.8983169585232695	664.1852512457549	162.4040944124717	1342.1842943667052	45.644936548425264	20.419398059844593	69.66530934095715	1109.9358233997925	329.29807196306996	2139.1156393814954	1.2319454392640732	0.9146069677256691	2.459081607841561	2566.864930135204	1945.5433869838557	3100.7481877945233	2.244576568307985	1.1906199756937288	6.314637926582269	0.7583193489768261	0.4262285559477479	1.4178166624158792	2.96247716297138	1.4298765956941362	13.524109565389795	3.850172952585738	2.249289330371509	15.45821761680431	0.43889681696222915	0.09195737885057456	0.8191466757856644
2.4	z	553.8781402000001	869.4051446000001	48.23348873	50.57459291	838.6439201000001	44.09569951	52.0151999	902.1439533	56.12180378	50.4518883	1.08	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.5538781402	599922301877892.9	540229223111086.1	660964859601506.6	596537783978471.6	539237783536410.6	655111777578265.1	0.049882214879882286	0.04614235829478415	0.05361004983354915	0.04977078298581557	0.045913457788419765	0.053697149183680494	0.5551484824518709	0.5308747520035797	0.5805226610064	734.6676635683973	164.27161241550877	1427.9420401735008	46.447515908506006	20.11588916302952	71.89623983944385	1192.3433525416829	369.41539214927457	2223.5422616705487	0.8030749875738213	0.594438085416739	1.7911194473233871	2304.4068023417076	1553.1657568025528	3019.7743189958687	1.6966534835168665	0.8133521687215969	5.180743466155078	0.5560985126815382	0.2858874697930529	1.0700004115180286	2.3166156197452326	1.1933061821251527	10.455753790230636	2.9113460739009347	1.8483529189152945	11.801000245322813	0.37698759402628007	0.09636487787590622	0.812843339388704
2.5	z	348.2371295	884.8287313	53.27208709	50.23930519	859.8400326	49.06413923	53.47179901	913.2832239	51.46107015	57.91979367	1.18	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.3482371295	599599419311202.8	541181392806494.5	660073161459710.2	598091940755862.0	543499728816206.44	662732761578089.9	0.0501070173877121	0.0463253150267518	0.05438159968836465	0.04995708314514092	0.04621417834510268	0.05413255673710227	0.3488451665314478	0.3331209363621283	0.365295576161627	698.423820183853	200.95381417715902	1614.6208603618163	46.795285752959344	19.841543993150054	72.51999755863054	1225.9501005361467	393.60273460289807	2392.747431082661	0.5091048831910062	0.37197644938346397	1.1505904707295824	1997.7016213720185	1255.1681814260687	2911.9849566495614	1.254477336327501	0.592862679925625	3.7684611621866093	0.38576041560786356	0.18359070227475846	0.7523936301035147	1.96013134975418	1.0997294846219123	6.736922487531916	2.3802785591192928	1.6052911648277266	7.490207243168706	0.33730250409883217	0.07705699299003807	0.7581972384495651
2.52	z	307.09373789999995	887.3737627	49.362598999999996	54.50307204	866.4659152	51.07959059	53.19684161	911.7451278999999	56.266064	65.20455422	1.2	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.3070937379	599770888990319.9	543183663365154.4	660104723706889.5	599121866496450.6	542177612674067.3	660173326922304.9	0.05005964071108427	0.04592896289688591	0.05407843957823294	0.050269973828629716	0.04608090761315192	0.05424339278038583	0.3066780184549306	0.2924191756705484	0.32080322995753036	776.538859233782	205.85436320969245	1570.0462304920143	49.424529938852416	22.43206137821963	74.10411146260643	1234.7070895698457	353.2185710503363	2368.8537622412096	0.4759390740594105	0.33110921936109505	1.1203487091111501	1969.857756399142	1193.3146340951955	2901.086343846269	1.2250148206934166	0.5501338532677256	3.7280503206958175	0.381304207584759	0.16445196678243748	0.7840919696188304	1.9138148488059223	1.0480129459863143	6.664728415278731	2.3476165956132977	1.5461307025522093	7.2520882961899	0.3356238003194533	0.07278140594423241	0.768638027573694
